6.17365237 0.000000 0.000000
0.000000 6.17365237 0.000000
0.000000 0.000000 6.17365237
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
0.500000 0.500000 0.500000 FA
1.500000 0.500000 0.500000 FA
0.500000 1.500000 0.500000 FA
1.500000 1.500000 0.500000 FA
0.500000 0.500000 1.500000 FA
1.500000 0.500000 1.500000 FA
0.500000 1.500000 1.500000 Cs
1.500000 1.500000 1.500000 FA
2.000000 0.500000 2.000000 Br
1.000000 0.500000 2.000000 Br
2.000000 1.500000 2.000000 Br
1.000000 1.500000 2.000000 I
2.000000 0.500000 1.000000 I
1.000000 0.500000 1.000000 I
2.000000 1.500000 1.000000 I
1.000000 1.500000 1.000000 I
0.500000 2.000000 2.000000 I
1.500000 2.000000 2.000000 Br
0.500000 1.000000 2.000000 Br
1.500000 1.000000 2.000000 I
0.500000 2.000000 1.000000 Br
1.500000 2.000000 1.000000 I
0.500000 1.000000 1.000000 Br
1.500000 1.000000 1.000000 I
2.000000 2.000000 0.500000 Br
1.000000 2.000000 0.500000 I
2.000000 1.000000 0.500000 Br
1.000000 1.000000 0.500000 Br
2.000000 2.000000 1.500000 I
1.000000 2.000000 1.500000 I
2.000000 1.000000 1.500000 Br
1.000000 1.000000 1.500000 Br
2.000000 2.000000 2.000000 Pb
1.000000 2.000000 2.000000 Pb
2.000000 1.000000 2.000000 Pb
1.000000 1.000000 2.000000 Pb
2.000000 2.000000 1.000000 Pb
1.000000 2.000000 1.000000 Pb
2.000000 1.000000 1.000000 Pb
1.000000 1.000000 1.000000 Pb
