6.395400 0.000000 0.000000
0.000000 6.395400 0.000000
0.000000 0.000000 6.395400
2.000000 0.000000 0.000000
0.000000 2.000000 0.000000
0.000000 0.000000 2.000000
0.500000 0.500000 0.500000 Cs
1.500000 0.500000 0.500000 FA
0.500000 1.500000 0.500000 FA
1.500000 1.500000 0.500000 FA
0.500000 0.500000 1.500000 FA
1.500000 0.500000 1.500000 FA
0.500000 1.500000 1.500000 FA
1.500000 1.500000 1.500000 FA
2.000000 0.500000 2.000000 I
1.000000 0.500000 2.000000 I
2.000000 1.500000 2.000000 Cl
1.000000 1.500000 2.000000 Cl
2.000000 0.500000 1.000000 Cl
1.000000 0.500000 1.000000 I
2.000000 1.500000 1.000000 Cl
1.000000 1.500000 1.000000 Cl
0.500000 2.000000 2.000000 I
1.500000 2.000000 2.000000 I
0.500000 1.000000 2.000000 Cl
1.500000 1.000000 2.000000 Cl
0.500000 2.000000 1.000000 Cl
1.500000 2.000000 1.000000 Cl
0.500000 1.000000 1.000000 I
1.500000 1.000000 1.000000 I
2.000000 2.000000 0.500000 Cl
1.000000 2.000000 0.500000 Cl
2.000000 1.000000 0.500000 Cl
1.000000 1.000000 0.500000 I
2.000000 2.000000 1.500000 I
1.000000 2.000000 1.500000 I
2.000000 1.000000 1.500000 I
1.000000 1.000000 1.500000 I
2.000000 2.000000 2.000000 Pb
1.000000 2.000000 2.000000 Pb
2.000000 1.000000 2.000000 Pb
1.000000 1.000000 2.000000 Pb
2.000000 2.000000 1.000000 Pb
1.000000 2.000000 1.000000 Pb
2.000000 1.000000 1.000000 Pb
1.000000 1.000000 1.000000 Pb
