                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 00:52:15     -408.870512*       2.6457
BFGSLineSearch:    1[  2] 11:06:55     -409.878481*       1.8181
BFGSLineSearch:    2[  4] 22:13:26     -410.797970*       0.8865
BFGSLineSearch:    3[  6] 04:32:05     -411.128532*       1.3581
BFGSLineSearch:    4[  8] 12:10:49     -411.486999*       0.4220
BFGSLineSearch:    5[ 10] 18:43:39     -411.535444*       0.6544
BFGSLineSearch:    6[ 12] 01:42:41     -411.611187*       1.0606
BFGSLineSearch:    7[ 14] 09:21:09     -411.679396*       0.2874
BFGSLineSearch:    8[ 16] 15:29:30     -411.702272*       0.5761
BFGSLineSearch:    9[ 18] 22:20:49     -411.746744*       0.2821
BFGSLineSearch:   10[ 20] 04:46:20     -411.760335*       0.2786
BFGSLineSearch:   11[ 22] 11:19:49     -411.793571*       0.8235
